category,product_id,barcode,product_name,brand,unit,sale_price,cost_price,total_stock,unit_of_measure,is_for_sale
PBG,TH_MAP,,PHOSPHATES MAP 12-61-0 (25KG),,1.0,35000,30400.0,0.0,kg,1
PBG,TH_MAP-1,,PHOSPHATES MAP 12-61-0 (25KG),,25.0,850000,760000.0,0.0,bao,1
PBL,BCC_COBIO,,COBIO ROOT 250ML,BCC,1.0,75000,56000.0,0.0,Chai,1
PBL,BCC_TANXANH500,,SUPERTAN XANH GÓI 500GR,BCC,1.0,65000,40000.0,0.0,,1
PBL,BCC_CALIBO,,COFOLI CALIBO 450ML,BCC,1.0,120000,75000.0,0.0,Chai,1
PBL,BCC_FULAMIN,,COFOLI FULAMIN 450ML,BCC,1.0,95000,65000.0,0.0,Chai,1
THUỐC BỆNH,APN_IBA100,,IBA 100ML,AN PHÁT NÔNG,1.0,85000,63000.0,0.0,Chai,1
THUỐC BỆNH,APN_METRO,,METROTOP 600WG 400GR,AN PHÁT NÔNG,1.0,170000,140000.0,0.0,Gói,1
PBG,HH_301010bm,,BM 30-10-10 (25KG),BM,1.0,18000,14600.0,0.0,kg,1
PBG,HH_301010bm-1,,BM 30-10-10 (25KG),BM,25.0,435000,365000.0,0.0,Bao,1
THUỐC SÂU,VT_AKULA,,SÂU-RẦY-RỆP ( AKULAGOLD ) 260EW 240ML,VIỆT TRUNG,1.0,75000,55175.04,520.0,Chai,1
THUỐC SÂU,VT_SIEUGON85,,SIEUGON 85GR 1KG,VIỆT TRUNG,1.0,55000,0.0,0.0,Túi,1
THUỐC BỆNH,VT_ANLIA,,ANLIA 600WG 250G,VIỆT TRUNG,1.0,80000,54758.4,0.0,Gói,1
THUỐC BỆNH,VT_KAIDO,,TUYẾN TRÙNG 500 ( KAIDO 50SL ) 480ML,VIỆT TRUNG,1.0,125000,0.0,0.0,Chai,1
THUỐC BỆNH,HP_BO4TT,,BỘ ĐÔI ROT XỬ LÝ ĐẤT ( 2 TUYẾN TRÙNG B2 480ML + 2 ROMIL 500GR ),HP,1.0,650000,550495.04,0.0,BỘ,1
PBL,NDLA_06020,,0-60-20 GÓI 1 KG,NONG DUOC LA,1.0,125000,77500.0,0.0,,1
THUỐC BỆNH,NVT_DOSIMAX200,,DOSIMAX GOLD 200ML,NÔNG VIỆT THỊNH,1.0,185000,160000.0,0.0,Chai,1
THUỐC SÂU,HC_AOBA250,,AOBA 15EC 250ML,,1.0,275000,264000.0,0.0,,1
