Mã nhà cung cấp,Tên nhà cung cấp,Email,Điện thoại,Địa chỉ,Khu vực,Phường/Xã,Tổng mua,Nợ cần trả hiện tại,Mã số thuế,Ghi chú,Nhóm nhà cung cấp,Trạng thái,Tổng mua trừ trả hàng,Chi nhánh,Công ty,Người tạo,Ngày tạo
NCC000108,CÔNG TY TNHH MTV HIỆP HÒA,,039 6096 565,Vĩnh Long,,,583690000,0,,,,1,583690000,Chi nhánh trung tâm,,ADMIN,2025-10-11 14:18:55.107
NCC000107,CÔNG TY TNHH TẤN HƯNG VIỆT NAM,,123456789000,"Lô B213, Đường số 5, KCN Thái Hòa, ấp Tân Hòa,xã Đức Lập, Tỉnh Tây Ninh",,,22800000,0,,,,1,22800000,Chi nhánh trung tâm,,ADMIN,2025-07-24 15:44:45.383
NCC000106,CÔNG TY TNHH TM VÀ DV NN PHÚ THỨ,,0917123596,"R48 Đường số 2, KDC Nông Thổ Sản",Cần Thơ - Quận Cái Răng,Phường Phú Thứ,784450000,0,,,,1,784450000,Chi nhánh trung tâm,,ADMIN,2025-07-18 17:10:30.407
NCC000105,CÔNG TY CP ĐỒNG XANH,,0814363989,"TP CÀ MAU, TỈNH CÀ MAU",,,14655000,0,,,,1,14655000,Chi nhánh trung tâm,,ADMIN,2025-07-14 14:35:27.593
NCC000104,CÔNG TY TNHH PHÂN PHỐI HỮU NGHỊ,,0123456789,,Long An - Thành phố Tân An,,88200000,0,,,,1,88200000,Chi nhánh trung tâm,,ADMIN,2025-07-05 10:36:24.503
NCC000103,ANH KHƯƠNG - BCC,,083 4000153,,,,46000000,0,,,,1,46000000,Chi nhánh trung tâm,,ADMIN,2025-05-24 16:37:54.623
NCC000102,CTY CP VẬT TƯ KỸ THUẬT NÔNG NGHIỆP BÌNH ĐỊNH,,0907503078 - ĐỊNH CÁ HEO,,,,141000000,0,,,,1,141000000,Chi nhánh trung tâm,,ADMIN,2025-05-10 09:23:27.463
NCC000101,CÔNG TY TNHH TẬP ĐOÀN NAM PHÁT,,0346840091 - KHÔI,195/20 Điện Biên Phủ,Hồ Chí Minh - Quận Bình Thạnh,Phường 15,263720000,68620000,317130255.0,,,1,263720000,Chi nhánh trung tâm,,ADMIN,2025-04-23 09:10:07.967
NCC000100,BM - HÀNG DEMO ( Chị Trinh BM),,0397.000.965,,,,0,0,,tạo NCC là hàng  DEMO phân HC MNOTEC,,1,0,Chi nhánh trung tâm,,ADMIN,2025-03-18 16:00:38.520
NCC000099,CÔNG TY PHƯỚC QUANG LONG 1,,0918.899.797,"quốc lộ 1A, Bình Phú, Cai Lậy, Tiền Giang",,,4444005000,236936000,,,,1,4444005000,Chi nhánh trung tâm,,ADMIN,2025-01-15 15:45:18.013
