branch_id,product_id,quantity_on_hand
CN_MAIN,VT_AKULA,260
PTK06,VT_AKULA,156
PTK08,VT_AKULA,104
PTK08,HB_SECTOX100,1
PTK08,HB_SETOX,1
PTK08,NIKA_XCROP,1
CN_MAIN,VT_PICANA,285
PTK06,VT_PICANA,171
PTK08,VT_PICANA,114
CN_MAIN,VT_CALICYDAN,1
PTK08,VT_CALICYDAN,1
CN_MAIN,NDLA_13046,1
PTK08,NDLA_13046,1
CN_MAIN,HKM_QUẠT,1
PTK08,HKM_QUẠT,1
CN_MAIN,HKM_AOTHUN,2
PTK06,HKM_AOTHUN,1
PTK08,HKM_AOTHUN,2
CN_MAIN,HKM_BÌNHĐUN,1
PTK08,HKM_BÌNHĐUN,2
CN_MAIN,HKM_MAYXAY,6
PTK06,HKM_MAYXAY,3
PTK08,HKM_MAYXAY,4
PTK08,HKM_HT,1
CN_MAIN,HP_LISA,20
PTK06,HP_LISA,12
PTK08,HP_LISA,8
CN_MAIN,SP000359,20
PTK06,SP000359,12
PTK08,SP000359,8
CN_MAIN,HKM_CHENADA,8
PTK06,HKM_CHENADA,5
PTK08,HKM_CHENADA,4
CN_MAIN,ADAMA_FOL,2
PTK06,ADAMA_FOL,1
PTK08,ADAMA_FOL,2
CN_MAIN,HKM_BIA,9
PTK06,HKM_BIA,5
PTK08,HKM_BIA,5
CN_MAIN,PT_TRAURUNG,100
PTK06,PT_TRAURUNG,60
PTK08,PT_TRAURUNG,40
CN_MAIN,SP000365,100
PTK06,SP000365,60
PTK08,SP000365,40
CN_MAIN,NVT_PLUS,250
PTK06,NVT_PLUS,150
PTK08,NVT_PLUS,100
CN_MAIN,SP000363,250
PTK06,SP000363,150
PTK08,SP000363,100
CN_MAIN,HKM_NON,12
PTK06,HKM_NON,7
PTK08,HKM_NON,6
CN_MAIN,HKM_CHONGDINH,1
PTK08,HKM_CHONGDINH,1
CN_MAIN,HKM_BOTNGOT,6
PTK06,HKM_BOTNGOT,3
PTK08,HKM_BOTNGOT,3
PTK08,HKM_QUAT,1
PTK08,HKM_GAS,1
CN_MAIN,HKM_LY,3
PTK06,HKM_LY,2
PTK08,HKM_LY,2
CN_MAIN,HKM_ĐỒNG VÀNG,14
PTK06,HKM_ĐỒNG VÀNG,8
PTK08,HKM_ĐỒNG VÀNG,7
CN_MAIN,NVT_LEDAN,85
PTK06,NVT_LEDAN,51
PTK08,NVT_LEDAN,34
CN_MAIN,SP000362,85
PTK06,SP000362,51
PTK08,SP000362,34
CN_MAIN,HKM_NOILAUDIEN,1
PTK08,HKM_NOILAUDIEN,1
CN_MAIN,HKM_BHGSN,1
PTK08,HKM_BHGSN,1
PTK08,HKM_BINHDAXL,1
CN_MAIN,KMHP_CHEN,4
PTK06,KMHP_CHEN,2
PTK08,KMHP_CHEN,3
CN_MAIN,SP000196,1
PTK08,SP000196,2
CN_MAIN,SP000181,1
PTK08,SP000181,2
CN_MAIN,HKM_DAUBEP,6
PTK06,HKM_DAUBEP,3
PTK08,HKM_DAUBEP,3
CN_MAIN,KM NONTAIBEO,71
PTK06,KM NONTAIBEO,42
PTK08,KM NONTAIBEO,29
CN_MAIN,HKM_NUOCRUACHEN,2
PTK06,HKM_NUOCRUACHEN,1
PTK08,HKM_NUOCRUACHEN,2
CN_MAIN,KM KHAUTRANG,12
PTK06,KM KHAUTRANG,7
PTK08,KM KHAUTRANG,6
CN_MAIN,HKM_ AOTHUN,9
PTK06,HKM_ AOTHUN,5
PTK08,HKM_ AOTHUN,5
PTK08,HKM012,1
CN_MAIN,HKM011,15
PTK06,HKM011,9
PTK08,HKM011,6
PTK08,HKM007,1
PTK08,SP000068,1
PTK08,FF013,1
