invoice_id,product_id,barcode,product_name,brand,unit_of_measure,quantity,unit_price,item_discount_amount,sale_price,line_total,warranty,maintenance_cycle
HD251785.01,NIKA_DURICA,,DURI CARE QUÉT SÌ MŨ 1L ,NIKA,Chai,20.0,220000.0,0.0,220000.0,4400000,,
HD251785.01,HL_JAPAVIL,,JAPA VIL 110SC 1 LÍT ,HA LONG,chai,140.0,80000.0,0.0,80000.0,11200000,,
HD251423,NPK_201010,,NPK 20-10-10 BM (kg) ,BM,kg,113.0,23000.0,0.0,23000.0,2599000,,
HD251423,YARA006,,MILA DRAGON 13-6-21 (25KG) ,YARA,kg,32.5,28000.0,0.0,28000.0,910000,,
HD251245,VPC_VITHOXAM.100ML,,VITHOXAM 350SC - 100CC PET ,VIPESCO,Chai,20.0,52017.0,0.0,52017.0,1040340,,
HD251178,BCC121118,,NPK 12-11-18 PTK (25KG) ,BACONCO,kg,500.0,18410.0,0.0,18410.0,9205000,,
HD250903,VPC_VIBAM.1KG,,VIBAM - 1KG ,VIPESCO,kg,4.0,30000.0,0.0,30000.0,120000,,
HD250903,VPC_VIPAC200,,VPC_VIPAC 88 200GR ,VIPESCO,Gói,5.0,20000.0,0.0,20000.0,100000,,
HD250903,APN_THAMSAU,,THẤM SÂU 30 GIÂY (100ML) ,AN PHÁT NÔNG,Chai,1.0,53000.0,0.0,53000.0,53000,,
HD250903,NICOTEX011,,SÁT TRÙNG ĐAN 100G ,NICOTEX,Gói,2.0,17000.0,0.0,17000.0,34000,,
HD250903,BASF001,,ACGRO BAT MZ 100G ,BASF,Gói,5.0,45000.0,0.0,45000.0,225000,,
HD250903,SP000302,,NPK 20-10-10 BM (kg) ,BM,bao,3.0,550000.0,0.0,550000.0,1650000,,
HD250903,BASF006,,POLYRAM 80WG 100G ,BASF,Gói,20.0,35000.0,0.0,35000.0,700000,,
HD250903,VPC_VISHER,,VISHER 25EC 1 LÍT ,VIPESCO,Chai,2.0,220000.0,0.0,220000.0,440000,,
HD250891,HP_ROMIL,,ROMIL 72WP 500G ,HP,Gói,10.0,195000.0,0.0,195000.0,1950000,,
HD250891,HP_B2,,TUYẾN TRÙNG B2 480ML ,HP,Chai,10.0,135000.0,0.0,135000.0,1350000,,
HD250890,PTK_ACTIVEBLUE-1,,ACTIVE BLUE 11-11-11 + 15%OM (25KG ) ,PTK,Bao,20.0,475000.0,0.0,475000.0,9500000,,
HD250890,BM-1,,BM 20-10-10 TÍM BAO 25 KG ,BM,BAO,2.0,795000.0,0.0,795000.0,1590000,,
HD250890,CPGHBP,,CHI PHÍ GIAO HÀNG ANH NHỰT BÌNH PHƯỚC ,,Lần,1.0,273000.0,0.0,273000.0,273000,,
HD250889,CPGHBP,,CHI PHÍ GIAO HÀNG ANH NHỰT BÌNH PHƯỚC ,,Lần,1.0,187000.0,0.0,187000.0,187000,,
HD250889,NDLA_10600,,10-60-0 (10kg ) ,NONG DUOC LA,túi,15.0,430000.0,0.0,430000.0,6450000,,
HD250888,CPGHBP,,CHI PHÍ GIAO HÀNG ANH NHỰT BÌNH PHƯỚC ,,Lần,1.0,1340000.0,0.0,1340000.0,1340000,,
HD250888,CCV_92517RUBY-1,,NPK 9-25-17 RUBY (25KG) ,CON CÒ VÀNG,Bao,33.0,540000.0,0.0,540000.0,17820000,,
HD250888,NDLA_10600,,10-60-0 (10kg ) ,NONG DUOC LA,túi,75.0,430000.0,0.0,430000.0,32250000,,
HD250887,HT_PHYTO_150,,PHYTOCIDE 150GR ,HỢP TRÍ,Gói,10.0,128000.0,0.0,128000.0,1280000,,
HD250887,TL_HERO,,MAP HERO 100GR ,,Gói,20.0,85000.0,0.0,85000.0,1700000,,
HD250887,NVT_BÁM DÍNH 100ML,,BÁM DÍNH 102 (100ML) ,NÔNG VIỆT THỊNH,Chai,69.0,50000.0,0.0,50000.0,3450000,,
HD250887,SP000033,,ROOT 2 (10KG) ,NONG DUOC LA,Túi,3.0,530000.0,0.0,530000.0,1590000,,
HD250887,HP_ROMIL,,ROMIL 72WP 500G ,HP,Gói,10.0,195000.0,0.0,195000.0,1950000,,
HD250887,HP_B2,,TUYẾN TRÙNG B2 480ML ,HP,Chai,10.0,135000.0,0.0,135000.0,1350000,,
HD250887,VPC_VINET100G,,VINETOX 95SP - 100GR ,VIPESCO,Gói,24.0,22000.0,0.0,22000.0,528000,,
