invoice_id,branch_id,created_at,updated_at,status,shipping_status,subtotal,invoice_discount,total_amount,amount_paid,salesperson_name,customer_id,note
HD251785.01,CN_MAIN,2025-11-17 11:32:36,,Hoàn thành,,15600000,0,15600000,0,GIAHAN,KH000506,Bán hàng công ty sếp Phúc giao ĐL ngày 17/11
HD251423,CN_MAIN,2025-11-15 14:33:48,,Hoàn thành,,3509000,0,3509000,3509000,GIA HÂN,KH001507,
HD251245,CN_MAIN,2025-11-14 16:41:05,,Hoàn thành,,1040340,0,1040340,0,GIA HÂN,KH000506,"tt bán ct, giao anh Sự."
HD251178,CN_MAIN,2025-11-14 15:05:27,,Hoàn thành,,9205000,0,9205000,0,GIA HÂN,KH000506,"tt bán ct, giao Nguyễn Văn Hùng."
HD250903,CN_MAIN,2025-11-13 11:17:19,,Hoàn thành,,3322000,0,3322000,3322000,GIA HÂN,KH001507,"tt nhận hàng 02, xuất vườn sếp Phúc Bến Tre (01+12/11)."
HD250891,CN_MAIN,2025-11-13 10:44:25,,Hoàn thành,,3300000,50000,3250000,0,GIA HÂN,KH007574,
HD250890,CN_MAIN,2025-11-13 10:42:32,,Hoàn thành,,11363000,0,11363000,0,GIA HÂN,KH007575,
HD250889,CN_MAIN,2025-11-13 10:41:16,,Hoàn thành,,6637000,0,6637000,0,GIA HÂN,KH007576,
HD250888,CN_MAIN,2025-11-13 10:40:24,,Hoàn thành,,51410000,0,51410000,0,GIA HÂN,KH007486,
HD250887,CN_MAIN,2025-11-13 10:35:24,,Hoàn thành,,34144000,0,34144000,0,GIA HÂN,KH003471,
HD250405,CN_MAIN,2025-11-11 15:03:16,,Hoàn thành,,5427040,0,5427040,0,GIA HÂN,KH000506,tt bán ct
HD250343,CN_MAIN,2025-11-11 10:46:13,,Hoàn thành,,46145000,0,46145000,0,GIA HÂN,KH000506,tt bán ct_ giao  dũng khiêm.
HD249494,CN_MAIN,2025-11-07 08:19:45,,Hoàn thành,,3920000,0,3920000,0,GIA HÂN,KH000506,"TT bán CT, giao ĐL Tam  Nông."
HD249613.01,CN_MAIN,2025-11-07 17:38:10,,Hoàn thành,,22373680,0,22373680,0,GIA HÂN,KH000506,"TT BÁN CT, SỐ LƯỢNG CÒN LẠI SAU KHI CHUYỂN HTBL"
HD249359,CN_MAIN,2025-11-06 15:08:55,,Hoàn thành,,8400000,0,8400000,0,GIA HÂN,KH000506,tt nhận 02 +08 _ bán công ty giao Diệu Hiền.
HD249169,CN_MAIN,2025-11-05 14:56:59,,Hoàn thành,,13025000,0,13025000,0,GIA HÂN,KH000506,tt bán ct_ giao ĐL Hồng Nhi + Ba Nguyễn.
HD248770,CN_MAIN,2025-11-03 16:32:03,,Hoàn thành,,6800000,0,6800000,0,GIA HÂN,KH005817,nhận hàng 06+09 _ bán Trường HP ( công nợ 5-7 ngày ).
HD248327,CN_MAIN,2025-11-01 16:01:37,,Hoàn thành,,13600000,0,13600000,9930800,GIA HÂN,KH005817,tt nhận 02 +07 +08 - xuất Trường ( công nợ 5-7 ngày )
HD248230,CN_MAIN,2025-11-01 09:22:42,,Hoàn thành,,10800000,100000,10700000,10700000,GIA HÂN,KH006538,tt bán Hải Vy_ xe khách nhận tại 02 ( trừ vận chuyển 200đ/kg ).
HD248131,CN_MAIN,2025-10-31 15:46:44,,Hoàn thành,,33800000,0,33800000,0,GIA HÂN,KH000506,tt nhận hàng 09 - bán cty
HD247626,CN_MAIN,2025-10-29 14:03:56,,Hoàn thành,,22984000,0,22984000,22984000,GIA HÂN,KH005817,tt nhận 02 +06 + 08 => Giao Trường HP.
HD247480,CN_MAIN,2025-10-28 17:18:02,,Hoàn thành,,2720000,0,2720000,0,GIA HÂN,KH007951,
HD247479.02,CN_MAIN,2025-10-30 08:28:17,,Hoàn thành,,7106000,0,7106000,0,GIA HÂN,KH007950,tt bán bạn anh Việt_ a Thiêm giao 26/10.
HD247478.02,CN_MAIN,2025-10-30 08:41:25,,Hoàn thành,,25077000,0,25077000,0,GIA HÂN,KH007576,TT BÁN HÀNG ANH CÔNG_ XE A THIÊM 26/10 (CPVC= 1.800.000/61 BAO * 16 BAO )
HD247477.02,CN_MAIN,2025-10-30 08:32:15,,Hoàn thành,,170717000,0,170717000,0,GIA HÂN,KH007486,TT BÁN AVIỆT BP_ XE A  THIÊM 25/10.
HD247476,CN_MAIN,2025-10-28 16:57:34,,Hoàn thành,,2750000,0,2750000,0,GIA HÂN,KH007573,TT BÁN DÌ YẾN BP_ NHẬN HÀNG 02.
HD247439.01,CN_MAIN,2025-10-28 16:11:10,,Hoàn thành,,10159200,0,10159200,10159200,GIA HÂN,KH005817,"tt nhận hàng 02, bán Trường HP ( 5 chai lẻ IZU Trường giao ĐL ), ck đơn hàng 15%."
HD247405,CN_MAIN,2025-10-28 14:31:27,,Hoàn thành,,28875000,0,28875000,0,GIA HÂN,KH000506,tt bán ct_ giao Hồng Nhi.
HD246395,CN_MAIN,2025-10-23 15:36:03,,Hoàn thành,,3077000,0,3077000,3077000,GIA HÂN,KH001507,Hân xuất hàng ra khỏi kho (09 hàng hư không còn bán được + 02 : hàng sếp  Phúc lấy đi tt + Demo đi tỉnh )=> Sếp Phúc duyệt cho gửi về 02.
HD246318,CN_MAIN,2025-10-23 11:11:04,,Hoàn thành,,110875046,0,110875046,18405046,GIA HÂN,KH000506,TT BÁN CT_ HÀNG VIỆT TRUNG ( TẠI KHO 02 )
HD245882,CN_MAIN,2025-10-21 09:57:06,,Hoàn thành,,2240000,0,2240000,2240000,GIA HÂN,KH000506,
