product_type,category_3_level,product_id,barcode,product_name,brand,sale_price,cost_price,stock_quantity,reserved_quantity,estimated_oos_date,min_stock_threshold,max_stock_threshold,unit_of_measure,base_unit_code,conversion_rate,attributes,related_product_code,image_urls,weight_gram,is_active,is_direct_sale,description,note_template,location,component_items,warranty_period,maintenance_cycle
Hàng hóa,PBG,TH_MAP,,PHOSPHATES MAP 12-61-0 (25KG),,35000,30400.0,0.0,0,0 ngày,0,999999999.0,kg,,1.0,,,"https://cdn2-retail-images.kiotviet.vn/2025/11/11/congtyptk/1d6f079d616c45fdaebe3b7a22e7b30f.jpg,https://cdn2-retail-images.kiotviet.vn/2025/11/11/congtyptk/01afcdbb22fd4bb99fe9952afe3c50ae.jpg",,1,1,,,,,,
Hàng hóa,PBG,TH_MAP-1,,PHOSPHATES MAP 12-61-0 (25KG),,850000,760000.0,0.0,0,0 ngày,0,39999999.96,bao,TH_MAP,25.0,,TH_MAP,,,1,1,,,,,,
Hàng hóa,PBL,BCC_COBIO,,COBIO ROOT 250ML,BCC,75000,56000.0,0.0,0,0 ngày,0,999999999.0,Chai,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2025/11/06/congtyptk/e6d10ca43f4d4760914ffacdcb6e474e.jpg,,1,1,48 CHAI/ THÙNG,,,,,
Hàng hóa,PBL,BCC_TANXANH500,,SUPERTAN XANH GÓI 500GR,BCC,65000,40000.0,0.0,0,0 ngày,0,999999999.0,,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2025/11/04/congtyptk/a8ce494d9ec74935bf1cb4ecfefab383.jpg,,1,1,40 GÓI/THÙNG,,,,,
Hàng hóa,PBL,BCC_CALIBO,,COFOLI CALIBO 450ML,BCC,120000,75000.0,0.0,0,0 ngày,0,999999999.0,Chai,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2025/11/04/congtyptk/9509cbd617bc4cd7aea25e577612b0ae.jpg,,1,1,24 chai/thùng,,,,,
Hàng hóa,PBL,BCC_FULAMIN,,COFOLI FULAMIN 450ML,BCC,95000,65000.0,0.0,0,0 ngày,0,999999999.0,Chai,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2025/11/04/congtyptk/aabcd4aee4404bf694c7bbbd67ceb99f.jpg,,1,1,24CHAI/THÙNG,,,,,
Hàng hóa,THUỐC BỆNH,APN_IBA100,,IBA 100ML,AN PHÁT NÔNG,85000,63000.0,0.0,0,0 ngày,0,999999999.0,Chai,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2025/10/31/congtyptk/541090314faa4b59ab6e397398405258.jpg,,1,1,100 chai/thùng,,,,,
Hàng hóa,THUỐC BỆNH,APN_METRO,,METROTOP 600WG 400GR,AN PHÁT NÔNG,170000,140000.0,0.0,0,0 ngày,0,999999999.0,Gói,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2025/10/31/congtyptk/e77f13e38c034b4c809bf387bae31d1b.jpg,,1,1,40 gói/thùng,,,,,
Hàng hóa,PBG,HH_301010bm,,BM 30-10-10 (25KG),BM,18000,14600.0,0.0,0,0 ngày,0,999999999.0,kg,,1.0,,,"https://cdn2-retail-images.kiotviet.vn/2025/10/24/congtyptk/6862dabcdb2544b98529cc3a2ce52944.jpg,https://cdn2-retail-images.kiotviet.vn/2025/10/24/congtyptk/3e05ab2da8e6425eb9eca30125446c8c.jpg",,1,1,,,,,,
Hàng hóa,PBG,HH_301010bm-1,,BM 30-10-10 (25KG),BM,435000,365000.0,0.0,0,0 ngày,0,39999999.96,Bao,HH_301010bm,25.0,,HH_301010bm,,,1,1,,,,,,
Hàng hóa,THUỐC SÂU,VT_AKULA,,SÂU-RẦY-RỆP ( AKULAGOLD ) 260EW 240ML,VIỆT TRUNG,75000,55175.04,520.0,0,145 ngày,0,999999999.0,Chai,,1.0,,,https://cdn2-retail-images.kiotviet.vn/2025/10/28/congtyptk/0d0ad39af2864376ba114c00c9c4284b.jpg,,1,1,40 CHAI/THÙNG,,,,,
Hàng hóa,THUỐC SÂU,VT_SIEUGON85,,SIEUGON 85GR 1KG,VIỆT TRUNG,55000,0.0,0.0,0,0 ngày,0,999999999.0,Túi,,1.0,,,,,1,1,25 GÓI/THÙNG,,,,,
