product_type,category_level_3,product_code,product_name,product_brand,selling_price,cost_price,inventory_quantity,customer_reserved_quantity,D? ki?n h?t hàng,max_inventory,unit,base_unit_code,conversion_rate,product_attributes,related_product_codes,image_urls,weight,is_active,is_direct_sale,description,note_template,warehouse_location,component_items
Hàng hóa,PBL,NDLA_06020,0-60-20 GÓI 1 KG,NONG DUOC LA,"125,000.0","77,500.0",0.0,0.0,0 ngày,"999,999,999.00",,,1,,,"https://cdn2-retail-images.kiotviet.vn/2025/09/26/congtyptk/dcbad99347b54bd99b9aec00dd01fd60.jpg,https://cdn2-retail-images.kiotviet.vn/2025/09/26/congtyptk/6269bea5a70b4c7d8a6d577f4fff6e44.jpg",,1,1,TH?NG 25 G?I,,,
Hàng hóa,THU?C B?NH,NVT_DOSIMAX200,DOSIMAX GOLD 200ML,NÔNG VI?T TH?NH,"185,000.0","160,000.0",0.0,0.0,0 ngày,"999,999,999.00",Chai,,1,,,https://cdn2-retail-images.kiotviet.vn/2025/09/26/congtyptk/a2f917a0f8994530b49636b4a891381a.jpg,,1,1,1 TH?NG 60 CHAI,,,
Hàng hóa,THU?C SÂU,HC_AOBA250,AOBA 15EC 250ML,,"265,000.0","264,000.0",0.0,0.0,0 ngày,"999,999,999.00",,,1,,,"https://cdn-images.kiotviet.vn/2025/09/25/congtyptk/5945d4e88f044ca8b5f5f279fa38b39a.jpg,https://cdn-images.kiotviet.vn/2025/09/25/congtyptk/759e6ad2849f436e87b17c1a1235c9eb.jpg",,1,1,Thï¿½ng 40 chai,,,
Hàng hóa,THU?C SÂU,HB_ACTADAN,ACTADAN USA 350WP-80GR,HB -CTY HÒA BÌNH,"20,000.0","11,000.0",0.0,0.0,0 ngày,"999,999,999.00",,,1,,,https://cdn-images.kiotviet.vn/2025/09/19/congtyptk/4cb021373ffd480f81846a6143a8a522.jpg,,1,1,Thï¿½ng 100 gï¿½i,,,
Hàng hóa,THU?C SÂU,HB_SECTOX100,SECTOX 100WP - 100GR ( S?CH B? TR? ),HB -CTY HÒA BÌNH,"12,000.0","9,000.0",0.0,0.0,0 ngày,"999,999,999.00",,,1,,,"https://cdn-images.kiotviet.vn/2025/09/19/congtyptk/d8bb40eb36f44e7f9d25fcd88f452b71.jpg,https://cdn-images.kiotviet.vn/2025/09/19/congtyptk/6f9549ed317e435d93e72a6d06441e78.jpg",,1,1,Thï¿½ng 100 gï¿½i,,,
Hàng hóa,THU?C SÂU,HB_PERTOX,PERTOX 5EC 450ML,HB -CTY HÒA BÌNH,"55,000.0","42,800.0",0.0,0.0,0 ngày,"999,999,999.00",,,1,,,https://cdn-images.kiotviet.vn/2025/09/19/congtyptk/6ed4e6e93bb04e86b1174b1ce9e7f949.jpg,,1,1,Thï¿½ng 30 chai,,,
Hàng hóa,THU?C SÂU,HB_ASARA,ASARA SUPER 250WG - 30GR,HB -CTY HÒA BÌNH,"15,000.0","9,000.0",0.0,0.0,0 ngày,"999,999,999.00",,,1,,,https://cdn-images.kiotviet.vn/2025/09/19/congtyptk/37fcaa24f7584bcfa41e7e4097294fe2.jpg,,1,1,Thï¿½ng 400 gï¿½i,,,
Hàng hóa,THU?C SÂU,HB_CUNGTEN,SADAMIR 200WP - 100GR ( CUNG TÊN ),HB -CTY HÒA BÌNH,"28,000.0","19,200.0",0.0,0.0,0 ngày,"999,999,999.00",,,1,,,https://cdn-images.kiotviet.vn/2025/09/19/congtyptk/4026200f22aa4412883c879886b83987.jpg,,1,1,Thï¿½ng 100 gï¿½i,,,
Hàng hóa,THU?C ?C,PT_OCOBAMA,?C OBAMA 18GR (1KG),TY PHUC THINH,"55,000.0","39,900.0",0.0,0.0,0 ngày,"999,999,999.00",Gï¿½i,,1,,,"https://cdn-images.kiotviet.vn/2025/09/05/congtyptk/e1fa811e1ed24c8b9c093c921aef763c.jpg,https://cdn-images.kiotviet.vn/2025/09/05/congtyptk/a42d0fa5bb5b47939427c4d870db71fe.jpg",,1,1,,,,
Hàng hóa,THU?C ?C,PT_OCOBAMA-1,?C OBAMA 18GR (1KG),TY PHUC THINH,"1,100,000.0","798,000.0",0.0,0.0,0 ngày,"49,999,999.95",TH?NG,PT_OCOBAMA,20,,PT_OCOBAMA,,,1,1,,,,
Hàng hóa,THU?C SÂU,VT_RUOIVANG,RU?I VÀNG ?N ?? (KAKASUPER) 266SC 200ML,VI?T TRUNG,"120,000.0","83,235.0",0.0,0.0,0 ngày,"999,999,999.00",Chai,,1,,,https://cdn-images.kiotviet.vn/2025/08/30/congtyptk/c2fa98bd118544f4bf4c7502f18c2744.jpg,,1,1,1 TH?NG 40 CHAI,,,
Hàng hóa,THU?C SÂU,VT_RUOIVANG-1,RU?I VÀNG ?N ?? (KAKASUPER) 266SC 200ML,VI?T TRUNG,"4,800,000.0","3,329,400.0",0.0,0.0,0 ngày,"24,999,999.98",TH?NG,VT_RUOIVANG,40,,VT_RUOIVANG,,,1,1,1 TH?NG 40 CHAI,,,
Hàng hóa,THU?C SÂU,VT_CHIMUNG,CHIM ?NG (VIETDAN) 29SL 450ML,VI?T TRUNG,"45,000.0","35,266.0",0.0,0.0,0 ngày,"999,999,999.00",Chai,,1,,,"https://cdn-images.kiotviet.vn/2025/08/23/congtyptk/dfa9039cba014f1c9801f2be93af72d9.jpg,https://cdn-images.kiotviet.vn/2025/08/23/congtyptk/badfc355332248688c81505e3c60e21f.jpg",,1,1,,,,
Hàng hóa,THU?C SÂU,VT_CHIMUNG-1,CHIM ?NG (VIETDAN) 29SL 450ML,VI?T TRUNG,"1,350,000.0","1,057,980.0",0.0,0.0,0 ngày,"33,333,333.30",TH?NG,VT_CHIMUNG,30,,VT_CHIMUNG,,,1,1,,,,
Hàng hóa,PBL,NDLA_7544,PTK 7-5-44 250GRAM,NONG DUOC LA,"25,000.0","18,000.0",0.0,0.0,0 ngày,"999,999,999.00",Gï¿½i,,1,,,"https://cdn-images.kiotviet.vn/2025/08/22/congtyptk/07157935741146e7b1889b568f65127b.jpg,https://cdn-images.kiotviet.vn/2025/08/22/congtyptk/266e0f11d95f433ab4387d9b3ae70642.jpg",,1,1,,,,
Hàng hóa,PBL,NDLA_7544-1,PTK 7-5-44 250GRAM,NONG DUOC LA,"2,500,000.0","1,800,000.0",0.0,0.0,0 ngày,"9,999,999.99",TH?NG,NDLA_7544,100,,NDLA_7544,,,1,1,,,,
D?ch v?,Chi phí,SP000361,CHI PHÍ GIAO HÀNG BÌNH PH??C,,"20,000.0",0.0,0.0,0.0,0 ngày,0,L?n,,1,,,,,1,1,,,,
Hàng hóa,THU?C SÂU,NVT_NAPYRIM,NAPYRIM 20SC 450ML,NÔNG VI?T TH?NH,"145,000.0","126,000.0",0.0,0.0,0 ngày,"999,999,999.00",Chai,,1,,,https://cdn2-retail-images.kiotviet.vn/2025/08/12/congtyptk/83e8a9f1c0e143e2bdfe27653c58d03e.jpg,,1,1,1 TH?NG 30 CHAI,,,
Hàng hóa,THU?C SÂU,NVT_NAPYRIM-1,NAPYRIM 20SC 450ML,NÔNG VI?T TH?NH,"4,350,000.0","3,780,000.0",0.0,0.0,0 ngày,"33,333,333.30",TH?NG,NVT_NAPYRIM,30,,NVT_NAPYRIM,,,1,1,1 TH?NG 30 CHAI,,,
Combo - ?óng gói,PBL,PTK_COMBO5,COMBO 5 CHAI CANXI BO K?M 500ML T?NG 1,PTK,"540,000.0",0.0,0.0,0.0,0 ngày,0,,,1,,,https://cdn2-retail-images.kiotviet.vn/2025/08/11/congtyptk/e8bfa666dfe64ee38c1d637c203f627c.jpg,,1,1,,,,NDLA_CANXIBO:6
Hàng hóa,PBG,CCV_2555,NPK 25-5-5 FARMERS 25KG,CON CÒ VÀNG,"17,000.0","14,330.0",0.0,0.0,0 ngày,"999,999,999.00",kg,,1,,,"https://cdn2-retail-images.kiotviet.vn/2025/08/04/congtyptk/9d8afb277036451f8147ac6592198647.jpg,https://cdn2-retail-images.kiotviet.vn/2025/08/04/congtyptk/9cdd6c69bfa94626b1e3285ef11ae70d.jpg",,1,1,,,,
Hàng hóa,PBG,CCV_2555-1,NPK 25-5-5 FARMERS 25KG,CON CÒ VÀNG,"415,000.0","358,250.0",0.0,0.0,0 ngày,"39,999,999.96",Bao,CCV_2555,25,,CCV_2555,,,1,1,,,,
Hàng hóa,THU?C B?NH,VT_THANY,TH?N Y 4H TR? KHU?N (SUNSHI 21WP) 25GRAM,VI?T TRUNG,"10,000.0","6,134.40",0.0,0.0,0 ngày,"999,999,999.00",Gï¿½i,,1,,,https://cdn2-retail-images.kiotviet.vn/2025/07/26/congtyptk/59c96fede79641d9b0956570938a8a26.jpg,,1,1,,,,
Hàng hóa,THU?C B?NH,VT_THANY-1,TH?N Y 4H TR? KHU?N (SUNSHI 21WP) 25GRAM,VI?T TRUNG,"4,000,000.0","2,453,760.0",0.0,0.0,0 ngày,"2,500,000.00",TH?NG,VT_THANY,400,,VT_THANY,,,1,1,,,,
Hàng hóa,THU?C B?NH,VT_AMISU,AMISUPERTOP 500WP 20GRAM,VI?T TRUNG,"18,000.0","11,160.0",0.0,0.0,0 ngày,"999,999,999.00",Gï¿½i,,1,,,https://cdn2-retail-images.kiotviet.vn/2025/07/26/congtyptk/6aa49f2b204643f5bc4688d56208f39a.jpg,,1,1,,,,
Hàng hóa,THU?C B?NH,VT_AMISU-1,AMISUPERTOP 500WP 20GRAM,VI?T TRUNG,"9,000,000.0","5,580,000.0",0.0,0.0,0 ngày,"2,000,000.00",TH?NG,VT_AMISU,500,,VT_AMISU,,,1,1,,,,
